Symbol,Leg Symbol,Product,Futures Root,Expire Date,Leg Ratio,Leg Side,Description,Complex,Tick Size,Contract Size,Test Symbol
0002uB,0002fg,VX/M9,VX,6/19/2019,1,S,VX Monthly Jun 2019,FALSE,nickel,1000,FALSE
0002uB,0002V7,VX/N9,VX,7/17/2019,2,B,VX Monthly Jul 2019,FALSE,nickel,1000,FALSE
0002uC,,VX/K9:1:S - VX/N9:2:B,VX,5/22/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002uC,0002aV,VX/K9,VX,5/22/2019,1,S,VX Monthly May 2019,FALSE,nickel,1000,FALSE
0002uC,0002V7,VX/N9,VX,7/17/2019,2,B,VX Monthly Jul 2019,FALSE,nickel,1000,FALSE
0002uI,,VX/K9:1:B - VX/M9:2:S - VX/N9:1:B,VX,5/22/2019,,,VX COMPLEX 3 LEGS,TRUE,cmplxpenny,1000,FALSE
0002uI,0002fg,VX/M9,VX,6/19/2019,2,S,VX Monthly Jun 2019,FALSE,nickel,1000,FALSE
0002uI,0002aV,VX/K9,VX,5/22/2019,1,B,VX Monthly May 2019,FALSE,nickel,1000,FALSE
0002uI,0002V7,VX/N9,VX,7/17/2019,1,B,VX Monthly Jul 2019,FALSE,nickel,1000,FALSE
0002vK,,VX/K9:1:S - VX/U9:1:B,VX,5/22/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002vK,0002vI,VX/U9,VX,9/18/2019,1,B,VX Monthly Sep 2019,FALSE,nickel,1000,FALSE
0002vK,0002aV,VX/K9,VX,5/22/2019,1,S,VX Monthly May 2019,FALSE,nickel,1000,FALSE
0002vS,,VX/Q9:1:S - VX/U9:1:B,VX,8/21/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002vS,0002vI,VX/U9,VX,9/18/2019,1,B,VX Monthly Sep 2019,FALSE,nickel,1000,FALSE
0002vS,0002qF,VX/Q9,VX,8/21/2019,1,S,VX Monthly Aug 2019,FALSE,nickel,1000,FALSE
0002vU,,VX/N9:1:S - VX/U9:1:B,VX,7/17/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002vU,0002vI,VX/U9,VX,9/18/2019,1,B,VX Monthly Sep 2019,FALSE,nickel,1000,FALSE
0002vU,0002V7,VX/N9,VX,7/17/2019,1,S,VX Monthly Jul 2019,FALSE,nickel,1000,FALSE
0002vV,,VX/M9:1:S - VX/U9:1:B,VX,6/19/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002vV,0002vI,VX/U9,VX,9/18/2019,1,B,VX Monthly Sep 2019,FALSE,nickel,1000,FALSE
0002vV,0002fg,VX/M9,VX,6/19/2019,1,S,VX Monthly Jun 2019,FALSE,nickel,1000,FALSE
0002vY,,VXT/N9:1:S - VXT/U9:1:B,VXT,7/17/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002vY,0002vW,VXT/U9,VXT,9/18/2019,1,B,VXT Monthly Sep 2019,FALSE,tas_penny,1000,FALSE
0002vY,0002VL,VXT/N9,VXT,7/17/2019,1,S,VXT Monthly Jul 2019,FALSE,tas_penny,1000,FALSE
0002va,,VXT/Q9:1:S - VXT/U9:1:B,VXT,8/21/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002va,0002vW,VXT/U9,VXT,9/18/2019,1,B,VXT Monthly Sep 2019,FALSE,tas_penny,1000,FALSE
0002va,0002qT,VXT/Q9,VXT,8/21/2019,1,S,VXT Monthly Aug 2019,FALSE,tas_penny,1000,FALSE
0002vh,,VXT/M9:1:S - VXT/U9:1:B,VXT,6/19/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002vh,0002vW,VXT/U9,VXT,9/18/2019,1,B,VXT Monthly Sep 2019,FALSE,tas_penny,1000,FALSE
0002vh,0002fu,VXT/M9,VXT,6/19/2019,1,S,VXT Monthly Jun 2019,FALSE,tas_penny,1000,FALSE
0002vj,,VXT/K9:1:S - VXT/U9:1:B,VXT,5/22/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002vj,0002vW,VXT/U9,VXT,9/18/2019,1,B,VXT Monthly Sep 2019,FALSE,tas_penny,1000,FALSE
0002vj,0002aj,VXT/K9,VXT,5/22/2019,1,S,VXT Monthly May 2019,FALSE,tas_penny,1000,FALSE
0002wd,,VA/M0:1:S - VA/Z1:1:B,VA,6/19/2020,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0002wd,0002wc,VA/Z1,VA,12/17/2021,1,B,S&P 500 Variance Monthly Dec 2021,FALSE,nickel,1,FALSE
0002wd,0002R5,VA/M0,VA,6/19/2020,1,S,S&P 500 Variance Monthly Jun 2020,FALSE,nickel,1,FALSE
0002wg,,VA/M9:1:S - VA/Z1:1:B,VA,6/21/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0002wg,0002wc,VA/Z1,VA,12/17/2021,1,B,S&P 500 Variance Monthly Dec 2021,FALSE,nickel,1,FALSE
0002wg,16,VA/M9,VA,6/21/2019,1,S,S&P 500 Variance Monthly Jun 2019,FALSE,nickel,1,FALSE
0002wh,,VA/Z0:1:S - VA/Z1:1:B,VA,12/18/2020,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0002wh,0002wc,VA/Z1,VA,12/17/2021,1,B,S&P 500 Variance Monthly Dec 2021,FALSE,nickel,1,FALSE
0002wh,00025C,VA/Z0,VA,12/18/2020,1,S,S&P 500 Variance Monthly Dec 2020,FALSE,nickel,1,FALSE
0002wk,,VA/U9:1:S - VA/Z1:1:B,VA,9/20/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0002wk,0002wc,VA/Z1,VA,12/17/2021,1,B,S&P 500 Variance Monthly Dec 2021,FALSE,nickel,1,FALSE
0002wk,0002Qr,VA/U9,VA,9/20/2019,1,S,S&P 500 Variance Monthly Sep 2019,FALSE,nickel,1,FALSE
0002wm,,VA/Z9:1:S - VA/Z1:1:B,VA,12/20/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0002wm,0002wc,VA/Z1,VA,12/17/2021,1,B,S&P 500 Variance Monthly Dec 2021,FALSE,nickel,1,FALSE
0002wm,00000O,VA/Z9,VA,12/20/2019,1,S,S&P 500 Variance Monthly Dec 2019,FALSE,nickel,1,FALSE
0002y5,,ZVX/N9:1:S - ZVX/U9:1:B,ZVX,7/17/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002y5,0002y2,ZVX/U9,ZVX,9/18/2019,1,B,ZVX Monthly Sep 2019,FALSE,nickel,1000,TRUE
0002y5,0002mr,ZVX/N9,ZVX,7/17/2019,1,S,ZVX Monthly Jul 2019,FALSE,nickel,1000,TRUE
0002yB,,ZVX/M9:1:S - ZVX/U9:1:B,ZVX,6/19/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002yB,0002y2,ZVX/U9,ZVX,9/18/2019,1,B,ZVX Monthly Sep 2019,FALSE,nickel,1000,TRUE
0002yB,0002ho,ZVX/M9,ZVX,6/19/2019,1,S,ZVX Monthly Jun 2019,FALSE,nickel,1000,TRUE
0002yC,,ZVX/K9:1:S - ZVX/U9:1:B,ZVX,5/22/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002yC,0002y2,ZVX/U9,ZVX,9/18/2019,1,B,ZVX Monthly Sep 2019,FALSE,nickel,1000,TRUE
0002yC,0002ct,ZVX/K9,ZVX,5/22/2019,1,S,ZVX Monthly May 2019,FALSE,nickel,1000,TRUE
0002yE,,ZVX/Q9:1:S - ZVX/U9:1:B,ZVX,8/21/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002yE,0002y2,ZVX/U9,ZVX,9/18/2019,1,B,ZVX Monthly Sep 2019,FALSE,nickel,1000,TRUE
